Sample	Group	Readlen	Bam
904B_HSC1A	904B	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904B_HSC1A_R/904B_HSC1A_R.sort.bam
904B_HSC1B	904B	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904B_HSC1B_R/904B_HSC1B_R.sort.bam
904B_HSC2A	904B	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904B_HSC2A_R/904B_HSC2A_R.sort.bam
904B_HSC2B	904B	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904B_HSC2B_R/904B_HSC2B_R.sort.bam
904F_HSC1A	904F	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904F_HSC1A_R/904F_HSC1A_R.sort.bam
904F_HSC1B	904F	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904F_HSC1B_R/904F_HSC1B_R.sort.bam
904F_HSC2A	904F	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904F_HSC2A_R/904F_HSC2A_R.sort.bam
904F_HSC2B	904F	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/904F_HSC2B_R/904F_HSC2B_R.sort.bam
BC1_HSC1A	BC1	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/BC1_HSC1A_R/BC1_HSC1A_R.sort.bam
BC1_HSC1B	BC1	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/BC1_HSC1B_R/BC1_HSC1B_R.sort.bam
BC1_HSC2A	BC1	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/BC1_HSC2A_R/BC1_HSC2A_R.sort.bam
BC1_HSC2B	BC1	151	/data/RUNX1/project/5.NFE2/01.Bulk_HSC/02.STAR/BC1_HSC2B_R/BC1_HSC2B_R.sort.bam
